"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
7.179886510E-1,1.109671518E-1,-2.213360928E-2,9.802496910E0
7.204739110E-1,1.181456149E-1,-7.776673418E-3,9.814460754E0
7.229591720E-1,1.229312643E-1,-1.495514158E-2,9.800104141E0
7.254444320E-1,9.900303930E-2,-1.495514158E-2,9.816853523E0
7.279297440E-1,9.661021084E-2,-2.691925503E-2,9.802496910E0
7.304150050E-1,7.986045629E-2,-3.888336942E-2,9.790533066E0
7.329002650E-1,8.943174779E-2,-2.452643216E-2,9.783354759E0
7.353855260E-1,1.181456149E-1,-1.495514158E-2,9.802496910E0
7.378707860E-1,1.372881979E-1,-1.734796353E-2,9.807282448E0
7.403560470E-1,1.013958603E-1,-1.974078640E-2,9.804889679E0
7.428413590E-1,1.253240854E-1,-1.495514158E-2,9.795318604E0
7.453266190E-1,1.157527938E-1,-1.495514158E-2,9.800104141E0
7.478118800E-1,9.182456881E-2,-2.452643216E-2,9.807282448E0
7.502971400E-1,1.013958603E-1,-2.691925503E-2,9.809675217E0
7.527824010E-1,1.372881979E-1,-1.734796353E-2,9.802496910E0
7.552676610E-1,1.181456149E-1,-1.016949583E-2,9.792925835E0
7.577529740E-1,1.372881979E-1,-2.691925503E-2,9.800104141E0
7.602382340E-1,1.253240854E-1,-4.396811500E-2,9.790533066E0
7.627234940E-1,1.181456149E-1,-2.452643216E-2,9.804889679E0
7.652087550E-1,1.205384433E-1,-1.734796353E-2,9.792925835E0
7.676940150E-1,1.444666684E-1,-3.409772366E-2,9.800104141E0
7.701793280E-1,1.420738399E-1,-3.170489892E-2,9.788140297E0
7.726645880E-1,1.325025558E-1,-2.931207791E-2,9.788140297E0
7.751498490E-1,1.205384433E-1,-2.213360928E-2,9.783354759E0
7.776351090E-1,9.900303930E-2,-1.495514158E-2,9.790533066E0
7.801203690E-1,1.109671518E-1,-2.452643216E-2,9.776176453E0
7.826056820E-1,1.396810263E-1,-1.256231871E-2,9.785747528E0
7.850909420E-1,1.229312643E-1,-2.213360928E-2,9.802496910E0
7.875762030E-1,1.229312643E-1,-2.691925503E-2,9.807282448E0
7.900614630E-1,1.157527938E-1,-1.256231871E-2,9.804889679E0
7.925467240E-1,1.325025558E-1,-7.776673418E-3,9.788140297E0
7.950319840E-1,1.205384433E-1,-1.734796353E-2,9.788140297E0
7.975172970E-1,1.085743308E-1,-1.734796353E-2,9.797711372E0
8.000025570E-1,9.182456881E-2,-2.213360928E-2,9.797711372E0
8.024878170E-1,1.037886813E-1,-3.649054468E-2,9.807282448E0
8.049730780E-1,1.205384433E-1,-1.974078640E-2,9.795318604E0
8.074583380E-1,1.037886813E-1,-2.452643216E-2,9.780961990E0
8.099435990E-1,1.229312643E-1,-3.409772366E-2,9.788140297E0
8.124289110E-1,9.421738982E-2,-3.888336942E-2,9.800104141E0
8.149141720E-1,1.133599728E-1,-2.452643216E-2,9.780961990E0
8.173994320E-1,1.133599728E-1,-2.452643216E-2,9.783354759E0
8.198847440E-1,1.133599728E-1,-2.691925503E-2,9.807282448E0
8.223700050E-1,1.157527938E-1,-1.016949583E-2,9.790533066E0
8.248552650E-1,1.157527938E-1,-2.931207791E-2,9.812067986E0
8.273405260E-1,1.109671518E-1,-4.127619043E-2,9.802496910E0
8.298257860E-1,1.037886813E-1,-7.776673418E-3,9.792925835E0
8.323110470E-1,1.205384433E-1,-1.256231871E-2,9.788140297E0
8.347963590E-1,1.229312643E-1,-1.974078640E-2,9.785747528E0
8.372816190E-1,1.277169138E-1,-1.734796353E-2,9.807282448E0
8.397668800E-1,1.325025558E-1,-2.452643216E-2,9.785747528E0
8.422521400E-1,1.396810263E-1,-2.452643216E-2,9.790533066E0
8.447374010E-1,1.205384433E-1,-1.256231871E-2,9.800104141E0
8.472227130E-1,1.133599728E-1,-3.170489892E-2,9.814460754E0
8.497079740E-1,1.277169138E-1,-2.213360928E-2,9.802496910E0
8.521932340E-1,1.301097274E-1,-1.016949583E-2,9.788140297E0
8.546784940E-1,1.229312643E-1,-5.383851007E-3,9.809675217E0
8.571637550E-1,1.301097274E-1,-1.734796353E-2,9.807282448E0
8.596490670E-1,1.205384433E-1,-5.114658549E-2,9.802496910E0
8.621343280E-1,1.181456149E-1,-2.931207791E-2,9.790533066E0
8.646195880E-1,1.325025558E-1,-2.213360928E-2,9.778569221E0
8.671048490E-1,1.301097274E-1,-3.170489892E-2,9.790533066E0
8.695901090E-1,1.277169138E-1,-2.213360928E-2,9.792925835E0
8.720754220E-1,1.396810263E-1,-7.776673418E-3,9.795318604E0
8.745606820E-1,1.205384433E-1,-1.974078640E-2,9.783354759E0
8.770459420E-1,1.013958603E-1,-2.452643216E-2,9.802496910E0
8.795312030E-1,1.181456149E-1,-4.636093974E-2,9.797711372E0
8.820164630E-1,8.943174779E-2,-2.452643216E-2,9.783354759E0
8.845017760E-1,8.943174779E-2,-2.452643216E-2,9.783354759E0
8.869870360E-1,1.157527938E-1,-2.691925503E-2,9.795318604E0
8.894722970E-1,1.109671518E-1,-2.213360928E-2,9.816853523E0
8.919575570E-1,7.507480681E-2,-1.016949583E-2,9.797711372E0
8.944428170E-1,1.037886813E-1,-5.383851007E-3,9.816853523E0
8.969281300E-1,1.157527938E-1,-7.776673418E-3,9.800104141E0
8.994133900E-1,1.133599728E-1,-2.691925503E-2,9.797711372E0
9.018986510E-1,8.943174779E-2,-2.691925503E-2,9.790533066E0
9.043839110E-1,1.085743308E-1,-2.691925503E-2,9.788140297E0
9.068692240E-1,9.182456881E-2,-1.974078640E-2,9.795318604E0
9.093544840E-1,1.277169138E-1,-4.127619043E-2,9.778569221E0
9.118397440E-1,1.109671518E-1,-2.691925503E-2,9.778569221E0
9.143250050E-1,1.253240854E-1,-4.396811500E-2,9.788140297E0
9.168102650E-1,1.133599728E-1,-1.974078640E-2,9.788140297E0
9.192955260E-1,1.109671518E-1,-4.636093974E-2,9.807282448E0
9.217808380E-1,1.037886813E-1,-5.114658549E-2,9.790533066E0
9.242660990E-1,1.301097274E-1,-4.636093974E-2,9.783354759E0
9.267513590E-1,1.229312643E-1,-2.691925503E-2,9.797711372E0
9.292366190E-1,1.325025558E-1,-1.974078640E-2,9.778569221E0
9.317218800E-1,1.301097274E-1,-2.931207791E-2,9.776176453E0
9.342071920E-1,1.181456149E-1,-1.974078640E-2,9.804889679E0
9.366924530E-1,1.013958603E-1,-1.974078640E-2,9.795318604E0
9.391777130E-1,1.372881979E-1,-1.974078640E-2,9.778569221E0
9.416629740E-1,1.348953694E-1,-7.776673418E-3,9.804889679E0
9.441482340E-1,1.109671518E-1,-2.991028363E-3,9.802496910E0
9.466335470E-1,1.253240854E-1,-1.256231871E-2,9.807282448E0
9.491188070E-1,1.301097274E-1,-2.931207791E-2,9.788140297E0
